,100,200,300,400,500,600,700,800,900,1000
ATI,0.095333333,0.076666667,0.086666667,0.081333333,0.065333333,0.064666667,0.054666667,0.048666667,0.074666667,0.074666667
ATII,0.091333333,0.072,0.044,0.078,0.098,0.098,0.071333333,0.088,0.088666667,0.082
B,0.336666667,0.224,0.206666667,0.176,0.166666667,0.146,0.134666667,0.100666667,0.117333333,0.118666667
B_Plasma,0.408666667,0.324666667,0.368,0.281333333,0.234,0.221333333,0.190666667,0.192666667,0.16,0.187333333
Basal,0.007333333,0.001333333,0.000666667,0,0,0,0,0,0,0
Ciliated,0.026,0.011333333,0.004666667,0,0.001333333,0.000666667,0,0,0.000666667,0.002
Club,0,0,0,0,0,0,0,0,0,0
Dendritic_A,0,0,0,0,0,0,0,0,0,0
Dendritic_B,0,0.000666667,0,0,0,0,0.002,0.000666667,0.002,0.002666667
Dendritic_C,0.029333333,0.081333333,0.077333333,0.055333333,0.050666667,0.055333333,0.043333333,0.051333333,0.054666667,0.056
Dendritic_Langerhans,0,0,0,0,0,0,0,0,0,0
Dendritic_Plasmacytoid,0,0,0,0,0,0,0,0,0,0
Fibroblast,0.006,0.000666667,0,0,0,0,0,0,0,0.001333333
Goblet,0.000666667,0,0,0,0,0,0,0,0,0
Innate_lymphoid_A,0.008,0.048,0.071333333,0.054666667,0.032,0.042666667,0.038,0.033333333,0.049333333,0.044
Innate_lymphoid_B,0.021333333,0.03,0.031333333,0.016,0.020666667,0.019333333,0.012666667,0.029333333,0.018,0.025333333
Ionocyte,0.128,0.094,0.078666667,0.076,0.056,0.051333333,0.071333333,0.068666667,0.079333333,0.072
Lymphatic-Endothelial,0.574,0.618666667,0.540666667,0.513333333,0.552666667,0.532666667,0.512666667,0.523333333,0.479333333,0.514
Macrophage,0.000666667,0,0,0,0,0,0,0,0,0
Macrophage_Alveolar,0.004666667,0,0,0,0,0,0,0,0,0
Mast,0.074666667,0.077333333,0.071333333,0.054666667,0.056666667,0.074666667,0.060666667,0.079333333,0.061333333,0.066666667
Mesothelial,0.000666667,0.006,0.000666667,0.000666667,0.001333333,0.000666667,0.001333333,0,0,0.000666667
Monocyte,0.002,0,0,0,0,0,0,0,0,0
Monocyte_Non-Classical,0.222666667,0.127333333,0.138,0.14,0.127333333,0.159333333,0.154666667,0.128666667,0.120666667,0.144
Myofibroblast,0,0,0,0,0,0,0,0,0,0
Mystery_Disease_Epithelial,0,0,0,0,0,0,0,0,0,0
Neuroendocrine,0.914666667,0.959333333,0.98,0.980666667,0.979333333,0.969333333,0.977333333,0.980666667,0.981333333,0.981333333
NK,0.19,0.126,0.084666667,0.067333333,0.049333333,0.06,0.056666667,0.058666667,0.062,0.064666667
Pericytes,0,0,0,0,0,0,0,0,0,0
Smooth-Muscle,0.006666667,0.002,0.000666667,0.000666667,0,0,0,0,0,0
T,0.190666667,0.018666667,0.004,0.006,0.007333333,0.006666667,0.010666667,0.005333333,0.001333333,0.000666667
T_Cytotoxic,0.116,0.068,0.030666667,0.024666667,0.051333333,0.049333333,0.046,0.045333333,0.044666667,0.033333333
T_Regulatory,0.005333333,0.002666667,0.008666667,0.004,0.002666667,0.002,0.002,0.004666667,0.000666667,0.000666667
Vascular-Endothelial_A,0,0,0,0,0,0,0,0,0,0
Vascular-Endothelial_B,0.025333333,0.021333333,0.036666667,0.038,0.046666667,0.044666667,0.039333333,0.046666667,0.049333333,0.050666667
Vascular-Endothelial_C,0.010666667,0.002666667,0.002,0.000666667,0.002,0.003333333,0.002,0,0.002,0.002666667
Vascular-Endothelial_D,0.194,0.125333333,0.195333333,0.187333333,0.236,0.217333333,0.207333333,0.204666667,0.213333333,0.194666667
Vascular-Endothelial_E,0.000666667,0.000666667,0,0,0,0,0,0,0,0
