"","Monocyte_Non-Classical","Macrophage_Alveolar","NK","Monocyte","Lymphatic-Endothelial","Macrophage","Fibroblast","Basal","Myofibroblast","Dendritic_A","B","Vascular-Endothelial_A","T","ATII","ATI","Vascular-Endothelial_D","Vascular-Endothelial_C","Ciliated","Club","Vascular-Endothelial_B","B_Plasma","Innate_lymphoid_A","T_Cytotoxic","Goblet","T_Regulatory","Mesothelial","Innate_lymphoid_B","Smooth-Muscle","Dendritic_B","Dendritic_Langerhans","Mast","Dendritic_Plasmacytoid","Dendritic_C","Vascular-Endothelial_E","Pericytes","Mystery_Disease_Epithelial","Ionocyte","Neuroendocrine"
"Monocyte_Non-Classical",0.0675327160751236,0,0,0.162119656802296,0,0.0178010903588069,0,0,0,0.0712824842357342,0,0,0,0,0,0,0,0.0348009573061434,0.0199149963857402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage_Alveolar",0.253671203008581,0,0,0.204541373716715,0,0.04841751818683,0,0,0,0.0990519030813827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte",0.076652140410568,0,0,0.128569339601391,0,0.0331139817517864,0,0,0,0.0652756572201923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic-Endothelial",0.345953647125478,0,0,0.48612516395509,0,0.195246609434958,0,0,0,0.288679514685272,0,0,0,0,0,0,0,0.090408417174462,0.0351316502775563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0.187988135200228,0,0,0.223415373577889,0,0.0645952323535505,0,0,0,0.101079345379334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0.485972942422354,0.181925034613493,0.133010510116417,0.700861677284992,0.232719243601032,0.421821203261564,0.561591619527571,0.25114768641365,0.319625016398132,0.532051062580423,0,0.170884202938243,0.197868930240377,0.24230750810279,0.357201627789567,0,0.0831325707987507,0.592824094147995,0.450481288129536,0.0466947039943781,0.229027262208508,0.203573943731182,0.143416265207831,0.472532701423262,0.38768198380618,0.141348982505899,0.0594441680541376,0.364294429038404,0.183912918223369,0,0.573621854407078,0,0.137237546395678,0.305797124653936,0.322939458293058,0,0,0
"Basal",0.614805386019933,0.141893215376966,0.25507111771435,0.811764743209372,0.201445943653802,0.571395785218026,0.43131628447643,0.199111940789469,0.210286348829909,0.68342946001826,0,0.118288606720147,0.159505103472039,0.18449507418179,0.280541928625122,0,0.0582162443111488,0.624976714483814,0.39700566221352,0.0384823499113802,0.231370708745533,0.194043328419044,0.112725203793161,0.34655016346355,0.355376377450862,0.101331826723387,0.0957680909174345,0.256207630920508,0.201675124659491,0,0.460042181173408,0,0.0828563950470161,0.251636428039812,0.348296397334899,0,0,0
"Myofibroblast",0.59705529376223,0.214308991922705,0.263486161062042,0.714129156289153,0.338742978940868,0.50420443610508,0.735134896434328,0.273718323326131,0.277256898324437,0.550729781390951,0,0.22378671515546,0.261604063994329,0.249501710801189,0.41152114731937,0,0.0897383482082923,0.793989609675427,0.502659189568363,0.0598357199184568,0.300622902445378,0.235957901040394,0.186937739790622,0.445350192891629,0.449751235315502,0.171320212393837,0.0788355094268514,0.429537102400185,0.225122431355169,0,0.687059784694174,0,0.140267595427376,0.33018789651271,0.399101653537105,0,0,0
"Dendritic_A",0.116579977767479,0,0,0.190892483396165,0,0.0403390340473219,0,0,0,0.0974736433287333,0,0,0,0,0,0,0,0.0345218426551332,0.0301806628780385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
