"","Monocyte_Non-Classical","Macrophage_Alveolar","NK","Monocyte","Lymphatic-Endothelial","Macrophage","Fibroblast","Basal","Myofibroblast","Dendritic_A","B","Vascular-Endothelial_A","T","ATII","ATI","Vascular-Endothelial_D","Vascular-Endothelial_C","Ciliated","Club","Vascular-Endothelial_B","B_Plasma","Innate_lymphoid_A","T_Cytotoxic","Goblet","T_Regulatory","Mesothelial","Innate_lymphoid_B","Smooth-Muscle","Dendritic_B","Dendritic_Langerhans","Mast","Dendritic_Plasmacytoid","Dendritic_C","Vascular-Endothelial_E","Pericytes","Mystery_Disease_Epithelial","Ionocyte","Neuroendocrine"
"Monocyte_Non-Classical",0.0606728476609841,0.0468037931269273,0,0.0683132592126894,0,0.0569663890359859,0,0,0,0.0415582676678151,0,0.0621341872680257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage_Alveolar",0.298380452017135,0.115968348097923,0,0.195325317945233,0,0.133381090565803,0,0,0,0.143241115205988,0,0.160994570473743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte",0.0864989321845935,0.100233125691461,0,0.119660511698621,0,0.0864790778760304,0,0,0,0.0988268306029236,0,0.122882164358795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic-Endothelial",0.26354828334305,0.181724274332527,0,0.260672296623431,0,0.228901060128662,0,0,0,0.182504112026696,0,0.168809870456742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0.0882881326680407,0.0650337546963871,0,0.0870898048681996,0,0.063301533996039,0,0,0,0.0597672033901012,0,0.058576552758495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0.300104872764659,0.516053387151783,0.313052463565797,0.752128859707345,0.170334987662097,0.529261973986346,0.669593314027705,0.293447875561741,0.398430872830366,0.516138812790684,0.170754329789004,0.134053540395159,0.22541259048448,0.300058571458569,0.208919886222485,0.064361393314955,0.0733472338750046,0.556633166945195,0.206474651711367,0.128422937359017,0.418818700805126,0.104513076723187,0,0.627535707263276,0.434167143060451,0.742227892073475,0.42839960722227,0.319273417032124,0.192025482061228,0.416511904268953,0.583493640714565,0,0.21779081365695,0.130565337301925,0.314152818636819,0,0.744731613988358,0.355202061383692
"Basal",0.52306654983788,0.71593575675165,0.419408062031194,1.04153984271287,0.217025628899173,0.895638634588442,0.654840228878907,0.308040490071476,0.332839207198898,0.684553252943558,0.16430560443591,0.17605266013769,0.278966285456578,0.313571307071013,0.226249597292562,0.0698770057832443,0.0754745921647207,0.755786984904376,0.207506668801637,0.171257744831002,0.452883766053917,0.104897419422596,0,0.642049138928928,0.618599466291027,0.75959625987349,0.518165396186375,0.3196459175413,0.207697807851696,0.451739681491723,0.548251804137797,0,0.230619097817557,0.155767076112324,0.442675502598536,0,0.732721346420925,0.393087328505301
"Myofibroblast",0.0265042456106642,0.0164579730829698,0,0.0239959765264819,0,0.0190952055922555,0,0,0,0.0168476796841813,0,0.012823976711809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_A",0.0367331815187022,0.0196865129748432,0,0.0394189283113982,0,0.0221362575117785,0,0,0,0.0219626537297927,0,0.0254940182510822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
