"","Monocyte_Non-Classical","Macrophage_Alveolar","NK","Monocyte","Lymphatic-Endothelial","Macrophage","Fibroblast","Basal","Myofibroblast","Dendritic_A","B","Vascular-Endothelial_A","T","ATII","ATI","Vascular-Endothelial_D","Vascular-Endothelial_C","Ciliated","Club","Vascular-Endothelial_B","B_Plasma","Innate_lymphoid_A","T_Cytotoxic","Goblet","T_Regulatory","Mesothelial","Innate_lymphoid_B","Smooth-Muscle","Dendritic_B","Dendritic_Langerhans","Mast","Dendritic_Plasmacytoid","Dendritic_C","Vascular-Endothelial_E","Pericytes","Mystery_Disease_Epithelial","Ionocyte","Neuroendocrine"
"Monocyte_Non-Classical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage_Alveolar",0.0312685911714359,0,0,0.0939549841975411,0,0.04601821004399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145832448902077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte",0.0104475156182142,0,0,0.0584920759154502,0,0.0286098603564322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764480334459143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic-Endothelial",0.128262166595615,0,0,0.409574144035459,0,0.227612872907806,0,0,0,0,0,0,0,0,0,0,0,0.298327773245684,0,0,0,0,0,0.245389155646234,0,0,0.184183827842565,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0.0343375996512907,0,0,0.107446856401208,0,0.0575826719328472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17281619330941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0.160431930030069,0.128642278748624,0.27245562928529,0.444020596064638,0.0842786730996819,0.252041701903534,0.785722502403448,0.299206588647164,0,0.163022136454631,0,0,0.182635187128007,0.264510634649821,0.182332115951223,0,0.064431164203764,0.555879817314999,0.396011671657625,0.110005535142218,0.249644703968149,0.0578771168336563,0.352258851446153,0.415141564786386,0.216415990098704,0,0.53190283036752,0,0.234874968149669,0.336350794637056,0.716757968918321,0,0,0,0,0,0,0
"Basal",0.478084562060781,0.353958014910845,0.415894616223104,0.749975729343195,0.146998862010248,0.603375931896688,0.991755497776123,0.447064497552597,0,0.242961316041757,0,0,0.506526557861199,0.414225464269534,0.28335627188871,0,0.0979970146145898,1.01017204903949,0.602323212023162,0.267955824337708,0.373491131817299,0.0972866359298838,0.662462684519774,0.544382654277008,0.617494126665024,0,0.360432416661132,0,0.266885794132932,0.497606956558705,0.572715472256684,0,0,0,0,0,0,0
"Myofibroblast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vascular-Endothelial_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
