"","Aberrant_Basaloid","ATI","ATII","B","B_Plasma","Basal","cDC1","cDC2","Ciliated","Club","cMonocyte","DC_Langerhans","DC_Mature","Fibroblast","Goblet","ILC_A","ILC_B","Ionocyte","Lymphatic","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Myofibroblast","ncMonocyte","NK","pDC","Pericyte","PNEC","SMC","T","T_Cytotoxic","T_Regulatory","VE_Arterial","VE_Capillary_A","VE_Capillary_B","VE_Peribronchial","VE_Venous"
"Aberrant_Basaloid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATI",0,0.788898447740956,0.431403372460048,0.246259294463256,0.156049632982918,0.947396562741054,0,0,0.907327224149344,0.895268738337414,0,0,0,0.918954040595972,0.553670138331845,0,0,0,0,0.613860489378657,0.447664438654757,0.179022936463196,0,0.603152999577091,0,0.158261319238549,0,0,0,0,0.146000431968332,0.073265398624253,0,0,0,0,0,0
"ATII",0,0.787186831987416,0.370878431460625,0.240496697366319,0.118006459885757,1.02613671648629,0,0,0.780273284706493,0.843184557222667,0,0,0,0.805227718902674,0.509093036359177,0,0,0,0,0.500631800254048,0.217429793359421,0.225770862535052,0,0.565030183853803,0,0.185450111161862,0,0,0,0,0.106646493521443,0.0536230184408198,0,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,1.2101919037404,0.860166350616155,0,0,1.7336225281729,0,0,1.02153839814145,1.28519509325085,0,0,0,0.890454470627807,1.03531385685349,0,0,0,0,0.330269360875865,0,0,0,1.01624414951623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0,0.566358982146492,0.270823870236157,0.156123326205258,0.073373799741088,0.697858634618739,0,0,0.512281779126899,0.551598672662595,0,0,0,0.600040927975226,0.278825348026005,0,0,0,0,0.442574366055118,0.163726337156707,0.160171629837396,0,0.449443482437881,0,0.123076538574062,0,0,0,0,0.0629226306859186,0.0317371052886499,0,0,0,0,0,0
"Club",0,0.452647060586886,0.208664700608363,0.0240795786284177,0.0368995944596262,0.661970021453102,0,0,0.477169908915323,0.533290746366717,0,0,0,0.454759298842462,0.346879305506915,0,0,0,0,0.208322684026373,0.0708270707186167,0.0628694157851583,0,0.402816453001541,0,0.0393997615312092,0,0,0,0,0.0255396280953117,0.0130695857277543,0,0,0,0,0,0
"cMonocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Mature",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0,0.708188626133796,0.831327810749154,0,0,1.47150572552891,0,0,0.688901237064994,0.935523103612218,0,0,0,1.1124478994829,0.791285833080331,0,0,0,0,0.292036220413349,0.907407033741453,0,0,1.05397151673744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goblet",0,0.740041605630732,0.242093161041277,0.0899846723487783,0,0.93262590599665,0,0,0.532119410396004,0.676897897133095,0,0,0,0.314251678145483,0.324515516917671,0,0,0,0,0.588142095305697,0.0353484679322338,0.176794103735918,0,0.315541536994254,0,0.131197017413266,0,0,0,0,0,0,0,0,0,0,0,0
"ILC_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ILC_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ionocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0,0.0716079548845563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772962302157623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage_Alveolar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesothelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblast",0,0.975278510368561,0.611669617134715,0.352982523012811,0.106994978586153,1.07581948961134,0,0,0.845129083970279,0.967131623393146,0,0,0,1.30017237572063,0.778982033590857,0,0,0,0,0.892271768984539,0.428654939011192,0.255642835202224,0,0.846695422663299,0,0.227232201105339,0,0,0,0,0.210454144840831,0.105589953927903,0,0,0,0,0,0
"ncMonocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pDC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pericyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNEC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T_Cytotoxic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
