"","Aberrant_Basaloid","ATI","ATII","B","B_Plasma","Basal","cDC1","cDC2","Ciliated","Club","cMonocyte","DC_Langerhans","DC_Mature","Fibroblast","Goblet","ILC_A","ILC_B","Ionocyte","Lymphatic","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Myofibroblast","ncMonocyte","NK","pDC","Pericyte","PNEC","SMC","T","T_Cytotoxic","T_Regulatory","VE_Arterial","VE_Capillary_A","VE_Capillary_B","VE_Peribronchial","VE_Venous"
"Aberrant_Basaloid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATI",0,1.74356038996965,1.23567974278637,0,0.182062618188801,0,0,0,1.62739150191762,0.85169136008879,0,0,0,1.20299245557304,0.951209367683867,0,0,0,0,1.07250092677889,1.0132990330399,0.330178922408346,1.64293616550881,1.27801539883649,0,0.152209728865111,0,0,0,0,0,0,0.145350511482066,0,0,0,0,0
"ATII",0,1.72659381219155,1.10943021088144,0,0.169290506930953,0,0,0,1.44058803580404,0.7801844910793,0,0,0,1.14078805930076,1.03805861964786,0,0,0,0,0.885344722307227,0.745133807252362,0.384605397239179,1.2889913401277,1.18907719457696,0,0.185381948500435,0,0,0,0,0,0,0.127789864566817,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0,0.801398212873037,0.533881089388671,0,0.0793889089090606,0,0,0,0.625193226041002,0.335977944455878,0,0,0,0.5913748697522,0.49011087497934,0,0,0,0,0.51800687277941,0.302605151252344,0.218326904045369,0.719047686063523,0.559442516738895,0,0.11139968867314,0,0,0,0,0,0,0.0412083179340559,0,0,0,0,0
"Club",0,0.779442533911968,0.52727290020752,0,0.08762316019005,0,0,0,0.757345737728239,0.323904161138789,0,0,0,0.607442474439872,0.533876894921413,0,0,0,0,0.402356314885444,0.312562992081822,0.136872226327897,0.745220169121684,0.547586517657176,0,0.0538764157371828,0,0,0,0,0,0,0.0461225178259145,0,0,0,0,0
"cMonocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Mature",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0,1.88957435186123,1.24362792700838,0,0.77690257051266,0,0,0,1.08756710405379,1.17842690762394,0,0,0,1.52698964818936,1.39538897987092,0,0,0,0,0.539773679967718,0.574534573414054,0,1.14658414975779,1.3350626119763,0,0,0,0,0,0,0,0,0.585999615637637,0,0,0,0,0
"Goblet",0,0.853334681793985,0.720824058373093,0,0.166793243663357,0,0,0,0.578792115354256,0.415706915004783,0,0,0,0.441771936661216,0.595639598248341,0,0,0,0,0.542739887438539,0.313499311278985,0.167893924836768,0.680311230206217,0.489850354082545,0,0.121135883521242,0,0,0,0,0,0,0.110645315758938,0,0,0,0,0
"ILC_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ILC_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ionocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0,0.153813204892436,0.236847447019085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155199521721501,0.0943860250899019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage_Alveolar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
