"","Aberrant_Basaloid","ATI","ATII","B","B_Plasma","Basal","cDC1","cDC2","Ciliated","Club","cMonocyte","DC_Langerhans","DC_Mature","Fibroblast","Goblet","ILC_A","ILC_B","Ionocyte","Lymphatic","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Myofibroblast","ncMonocyte","NK","pDC","Pericyte","PNEC","SMC","T","T_Cytotoxic","T_Regulatory","VE_Arterial","VE_Capillary_A","VE_Capillary_B","VE_Peribronchial","VE_Venous"
"Aberrant_Basaloid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATI",0,0.49869968677878,0.24066017260188,0.165420651609678,0.188086829264814,0.54238413624718,0,0,0.227202612600134,0.474211009323322,0,0,0,0.844042277586356,0.511886731819557,0,0,0,0,0.528970404000191,0.285993216722563,0,0.482952188723946,0.241202931783967,0,0.252558993351937,0,0,0,0,0,0,0,0,0,0,0,0
"ATII",0,0.299669486859413,0.113603838806949,0.0813660642808225,0.137064052163197,0.296319684086888,0,0,0.0451786385600025,0.333500499389471,0,0,0,0.495737356395235,0.314576581253335,0,0,0,0,0.220863043020852,0.0806129582715243,0,0.387499161379719,0.219848586725512,0,0.119560087150272,0,0,0,0,0,0,0,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,0.551046855673914,0.246705754556464,0,0,0.636115648346381,0,0,0.214723551681196,0.677108169853854,0,0,0,0.71932694506702,0.693868241115227,0,0,0,0,0.166773620943497,0.0903908753994679,0,1.13669684982402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0,0,0,0,0,0.0173000729760668,0,0,0,0,0,0,0,0.0144970057403781,0,0,0,0,0,0.0267520564443453,0.0078394678572195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Club",0,0.257445083426316,0.0882691967470906,0.0644763029075837,0.0900989385177371,0.314885554622519,0,0,0.134316780548969,0.310602923404895,0,0,0,0.591583120119813,0.272352177820238,0,0,0,0,0.269457725088871,0.137290030247127,0,0.36216451931986,0.211403706038893,0,0.101720037594981,0,0,0,0,0,0,0,0,0,0,0,0
"cMonocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Mature",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0,0.434797496022904,0.274695786802114,0,0,0.375965911670857,0,0,0.223524262201685,0.312789164782215,0,0,0,1.07990476842521,0.497054741936865,0,0,0,0,0.134431391428559,0.134068413232591,0,0,1.02700602376303,0,0.189597474367924,0,0,0,0,0,0,0,0,0,0,0,0
"Goblet",0,0,0,0,0.115769211477205,0.325291604838829,0,0,0,0.291983542314893,0,0,0,0.22024508777539,0,0,0,0,0,0.594893097117709,0.200664094001394,0,0,0,0,0.116084859585742,0,0,0,0,0,0,0,0,0,0,0,0
"ILC_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ILC_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
