,100,200,300,400,500,600,700,800,900,1000
ATI,0.002,0,0,0,0,0,0,0,0,0
ATII,0.002,0,0,0,0,0,0,0,0,0
B,0.72,0.054,0.01,0,0,0,0,0,0,0
B_Plasma,0.64,0.392,0.47,0.02,0.002,0,0,0,0,0
Basal,0,0,0,0,0,0,0,0,0,0
Ciliated,0,0,0,0,0,0,0,0,0,0
Club,0,0,0,0,0,0,0,0,0,0
Dendritic_A,0,0,0,0,0,0,0,0,0,0
Dendritic_B,0,0,0,0,0,0,0,0,0,0
Dendritic_C,0,0,0,0,0,0,0,0,0,0
Dendritic_Langerhans,0,0,0,0,0,0,0,0,0,0
Dendritic_Plasmacytoid,0,0,0,0,0,0,0,0,0,0
Fibroblast,0,0,0,0,0,0,0,0,0,0
Goblet,0,0,0,0,0,0,0,0,0,0
Innate_lymphoid_A,0,0,0,0,0,0,0,0,0,0
Innate_lymphoid_B,0,0,0,0,0,0,0,0,0,0
Ionocyte,0.008,0,0,0,0,0,0,0,0,0
Lymphatic-Endothelial,0.906,0.652,0.83,0.362,0.786,0.696,0.36,0.088,0.274,0.36
Macrophage,0,0,0,0,0,0,0,0,0,0
Macrophage_Alveolar,0,0,0,0,0,0,0,0,0,0
Mast,0.016,0,0,0,0,0,0,0,0,0
Mesothelial,0,0,0,0,0,0,0,0,0,0
Monocyte,0,0,0,0,0,0,0,0,0,0
Monocyte_Non-Classical,0.046,0,0,0,0,0,0,0,0,0
Myofibroblast,0,0,0,0,0,0,0,0,0,0
Mystery_Disease_Epithelial,0,0,0,0,0,0,0,0,0,0
Neuroendocrine,0.012,0,0,0,0,0,0,0,0,0
NK,0.022,0,0,0,0,0,0,0,0,0
Pericytes,0,0,0,0,0,0,0,0,0,0
Smooth-Muscle,0,0,0,0,0,0,0,0,0,0
T,0.244,0,0,0,0,0,0,0,0,0
T_Cytotoxic,0.002,0,0,0,0,0,0,0,0,0
T_Regulatory,0,0,0,0,0,0,0,0,0,0
Vascular-Endothelial_A,0,0,0,0,0,0,0,0,0,0
Vascular-Endothelial_B,0,0,0,0,0,0,0,0,0,0
Vascular-Endothelial_C,0,0,0,0,0,0,0,0,0,0
Vascular-Endothelial_D,0.038,0,0,0,0.018,0,0,0,0,0
Vascular-Endothelial_E,0,0,0,0,0,0,0,0,0,0
