"","ATI","ATII","B","B_Plasma","Basal","Ciliated","Club","Dendritic_A","Dendritic_B","Dendritic_C","Dendritic_Langerhans","Dendritic_Plasmacytoid","Fibroblast","Goblet","Innate_lymphoid_A","Innate_lymphoid_B","Lymphatic-Endothelial","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Monocyte","Monocyte_Non-Classical","Myofibroblast","Mystery_Disease_Epithelial","NK","Pericytes","Smooth-Muscle","T","T_Cytotoxic","T_Regulatory","Vascular-Endothelial_A","Vascular-Endothelial_B","Vascular-Endothelial_C","Vascular-Endothelial_D","Vascular-Endothelial_E"
"ATI",0.740611854116359,0.766574270257573,0.13026970981996,0.136102906961215,0,1.36302702102479,0,0.872719896586213,0.238866959929668,0.47515184161417,0.570385049876686,0,0.548522109706478,0.727528073135382,0.262627731687439,0.370330442061442,0.134131875553061,1.05540983725953,0.690585776279203,0.363609320898352,0,0.987626241869355,0.60759334412444,0.609808865510974,0,0,0,0.295753455274235,0.238630980265319,0,0.246900170355044,0.795247629289295,0.458005959381082,0.22697015109107,0.124459643142941,0
"ATII",0.360479235433374,0.294481220705549,0.0519145781264095,0.158173229446918,0,0.661457854962896,0,0.461832511504076,0.168039997177537,0.210342065716942,0.326689781717343,0,0.334027972918861,0.297484180000727,0.145636239134067,0.238879699740998,0.0562805046073064,0.406528833768088,0.134427645826825,0.220763425761072,0,0.433993689111191,0.205575954438051,0.307961820419094,0,0,0,0.14363632696987,0.0441373980517063,0,0.0884108744525244,0.282358256606205,0.105754583891495,0.0658812874584672,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0,0,0,0.0450253964806887,0,0.106227756162114,0,0.183016898421773,0.0349472940421293,0.0364231773120872,0.0548479399029702,0,0,0,0.0392583809367775,0.0511168853199305,0,0.13038808333132,0,0.0414398792680121,0,0.165249217563233,0.0711803744529391,0,0,0,0,0,0,0,0,0.0519068978526869,0,0,0,0
"Club",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_C",0,0,0,0,0,0,0,0.499805044955995,0,0,0,0,0,0,0,0,0,0.474160916863398,0,0,0,0.608409753050236,0.463894950897405,0,0,0,0,0,0,0,0,0.448703604588566,0,0,0,0
"Dendritic_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_Plasmacytoid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0.595593586438232,0.71899359650339,0.392430359313835,0,0,0.802034577095975,0,0,0.299791455878794,0,0.370040724713324,0,0.955516282377982,0.799917383282473,0,0,0,0.570289377057435,0.658212440317848,0,0,0.314165736243126,0.293236071745017,0.820082006253756,0,0,0,0.397028308704454,0,0,0.289886969153326,0.291794181337338,0.615492472268829,0.308420193842775,0.362218012593334,0
"Goblet",0,0,0,0,0,0.0956798413901948,0,0.138373471451133,0,0,0,0,0,0,0,0,0,0.118446032592659,0,0,0,0.149430914449318,0.0752134387727036,0,0,0,0,0,0,0,0,0.0734262215598991,0,0,0,0
"Innate_lymphoid_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Innate_lymphoid_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic-Endothelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0,0,0,0,0,0,0,0.296262186806038,0,0,0,0,0,0,0,0,0,0.27061805871344,0,0,0,0.404866894900279,0.260352092747447,0,0,0,0,0,0,0,0,0.245160746438609,0,0,0,0
"Macrophage_Alveolar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesothelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte",0,0,0,0,0,0,0,0.203520481415032,0,0,0,0,0,0,0,0,0,0.177876353322434,0,0,0,0.312125189509272,0.167610387356441,0,0,0,0,0,0,0,0,0.152419041047602,0,0,0,0
"Monocyte_Non-Classical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblast",0.587856198441172,0.459964040273473,0.0931412825258079,0.101123552298052,0,0.788212693910528,0,0.506591317729995,0.156625514921797,0.160953289311182,0.440036786709441,0,0.495241610020136,0.481301706544655,0.0935353739508,0.251400380611139,0.0984263514237358,0.656662383382103,0.216334412479676,0.24220305691428,0,0.649028415339163,0.384350990108534,0.493985165998467,0,0,0,0.23447019276173,0.0837268013827461,0,0.167618329188101,0.55601853363262,0.286254873399667,0.140345671247927,0.0851906649677815,0
"Mystery_Disease_Epithelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pericytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smooth-Muscle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
