"","ATI","ATII","B","B_Plasma","Basal","Ciliated","Club","Dendritic_A","Dendritic_B","Dendritic_C","Dendritic_Langerhans","Dendritic_Plasmacytoid","Fibroblast","Goblet","Innate_lymphoid_A","Innate_lymphoid_B","Ionocyte","Lymphatic-Endothelial","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Monocyte","Monocyte_Non-Classical","Myofibroblast","Mystery_Disease_Epithelial","Neuroendocrine","NK","Pericytes","Smooth-Muscle","T","T_Cytotoxic","T_Regulatory","Vascular-Endothelial_A","Vascular-Endothelial_B","Vascular-Endothelial_C","Vascular-Endothelial_D","Vascular-Endothelial_E"
"ATI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATII",0,1.31459480656965,0,0,0,1.00893269096657,1.70168832645828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51976886162813,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,2.79188706381073,0,0,2.85744834187052,1.24837862279598,1.65876774266613,0,0,0,0,0,0,1.7936288441013,0,0,0,0,0,0,0,0,0,0,3.11162572450373,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0,2.44885766267841,0,0,0,1.14527262390913,1.33387659348526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78857543561619,0,0,0,0,0,0,0,0,0,0,0,0,0
"Club",0,3.20758268628751,0,0,0,1.25792172284215,1.29368089991288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07564197815927,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_Plasmacytoid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0,1.64153551247911,0,0,0,1.81366618740952,1.18180349182504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93659761096745,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goblet",0,1.24209432066446,0,0,2.86303458403491,0.843586899795706,1.10879938405572,0,0,0,0,0,0,1.0263662110823,0,0,0,0,0,0,0,0,0,0,2.74965103833013,0,0,0,0,0,0,0,0,0,0,0,0,0
"Innate_lymphoid_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Innate_lymphoid_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ionocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic-Endothelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0,1.01924979422015,0,0,0.488631106041389,0.392525743296706,0.456383474493155,0,0,0,0,0,0,0.662372993924381,0,0,0,0,0.213099429580302,0,0.807603172390195,0,0,0,1.6106153739593,0,0,0,0,0,0,0.213631638044542,0,0,0,0,0,0
"Macrophage_Alveolar",0,0,0,0,0.507496930101909,0.514652658629211,0.70788986033403,0,0,0,0,0,1.49409386844943,0,0,0,0,0,0,0,0.826468996450714,0,0,0,2.35514534230771,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mast",0,0,0,0,0,0.970809406140724,0.601401154758381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65566029135436,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesothelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte_Non-Classical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblast",0,3.9084031348239,0,0,0,2.35755693102371,3.33169853137338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58841738490823,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mystery_Disease_Epithelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neuroendocrine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK",0,0,0,0,0.736772894163262,0.731539871204418,1.00723638794806,0,0,0,0,0,0,1.31680709636184,0,0,0,0,0,0,0,0,0,0,2.46009436978567,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pericytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smooth-Muscle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T_Cytotoxic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
