"","Aberrant_Basaloid","ATI","ATII","B","B_Plasma","Basal","cDC1","cDC2","Ciliated","Club","cMonocyte","DC_Langerhans","DC_Mature","Fibroblast","Goblet","ILC_A","ILC_B","Ionocyte","Lymphatic","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Myofibroblast","ncMonocyte","NK","pDC","Pericyte","PNEC","SMC","T","T_Cytotoxic","T_Regulatory","VE_Arterial","VE_Capillary_A","VE_Capillary_B","VE_Peribronchial","VE_Venous"
"Aberrant_Basaloid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATI",0,0,0.0499416640683104,0,0.0399433380929587,0.0491452650360866,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415656764793023,0.0452385287380756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATII",0,0.299198450369435,0.411992909447998,0.0312315114811821,0.0785185263083767,0.385160964381969,0,0,0.361858351364485,0.339399200680721,0,0,0,0.296718064478975,0.19471003521666,0,0,0.385316466134502,0,0.119798887805923,0.113935970011074,0,0.199547106473429,0.214137226847119,0,0.0593248994023651,0,0,0,0,0.0198425709799427,0.0545638960010736,0.0140194732012762,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,0,1.39058259098359,0,0.190127041162702,1.53066046849214,0,0,1.06226319404203,1.1804424357061,0,0,0,0.469453476335619,0.668005846953764,0,0,0.933877207491214,0,0.327171106412711,0.0874286856238128,0,0.658687541499435,0.73928618471419,0,0.163006018991513,0,0,0,0,0,0.117727867075688,0,0,0,0,0,0
"cDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0,0.281332347409739,0.447634343714272,0.0348027636325456,0.137897161409047,0.411447416854438,0,0,0.347418611399729,0.387567448986311,0,0,0,0.291189938530232,0.20037743814383,0,0,0.369665581518388,0,0.271092128298131,0.184880267152557,0,0.224662456810286,0.212180681373994,0,0.0965286316083988,0,0,0,0,0.0212900518364763,0.0776594998661465,0.0159328018801031,0,0,0,0,0
"Club",0,0.0792377587773921,0.512196053631724,0.0492674089906808,0.124613977963607,0.461921008563219,0,0,0.47247116134368,0.380099450097024,0,0,0,0.350825757007471,0.220234537729683,0,0,0.430406209908249,0,0.218780833256937,0.207564626822767,0,0.244636850247176,0.259226970620865,0,0.0863787456666132,0,0,0,0,0.0288605197346921,0.0816177422653217,0.0230374219560255,0,0,0,0,0
"cMonocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
