"","Aberrant_Basaloid","ATI","ATII","B","B_Plasma","Basal","cDC1","cDC2","Ciliated","Club","cMonocyte","DC_Langerhans","DC_Mature","Fibroblast","Goblet","ILC_A","ILC_B","Ionocyte","Lymphatic","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Myofibroblast","ncMonocyte","NK","pDC","Pericyte","PNEC","SMC","T","T_Cytotoxic","T_Regulatory","VE_Arterial","VE_Capillary_A","VE_Capillary_B","VE_Peribronchial","VE_Venous"
"Aberrant_Basaloid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATI",0,0.313013076857844,0.520978262523927,0,0.0959351390564419,0.623788882440186,0,0,0.599444160425085,0.258161928654757,0,0,0,0.323964343919348,0.348191996399656,0,0,0.351849041319956,0,0.402915729000002,0.331464483777364,0.113902973575626,0.282473791837455,0.357675696715838,0,0.0529901022716282,0,0,0,0,0,0,0,0,0,0,0,0
"ATII",0,0.309576413976243,0.499720612631633,0,0.0863161903061876,0.490784391982313,0,0,0.510905163914257,0.247570768181449,0,0,0,0.344088334933821,0.338277774362092,0,0,0.257679334341043,0,0.315095110624811,0.208250512609196,0.169781954357957,0.208155902567945,0.36006459294615,0,0.0915162964498131,0,0,0,0,0,0,0,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,0.782002661010032,0.942014700528862,0,0,1.28556921434337,0,0,0.954146934231383,0.37830626165362,0,0,0,0.478359001388982,0.495750233323931,0,0,0.447952728531748,0,0.27806267780036,0.0393867451549837,0.139775345052955,0.333679985120622,0.683827882382179,0,0.0809133329034584,0,0,0,0,0,0,0,0,0,0,0,0
"cDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0,0.196498503590074,0.232305559764368,0,0.0352549964476574,0.374125496528413,0,0,0.308963407419747,0.139453309458863,0,0,0,0.27240536950508,0.200825805828037,0,0,0.23688790663067,0,0.234313344849427,0.143932424076919,0.0952772514380014,0.132478873083348,0.242947628242388,0,0.0453507954795264,0,0,0,0,0,0,0,0,0,0,0,0
"Club",0,0.284844622801227,0.39729324000363,0,0.0371504929983819,0.531245505389846,0,0,0.522540644675082,0.222838977006433,0,0,0,0.331722439346313,0.307363035393322,0,0,0.328746147845353,0,0.308867734239312,0.245405997623518,0.094261759827322,0.233072891105617,0.335332801771134,0,0.0426527930692783,0,0,0,0,0,0,0,0,0,0,0,0
"cMonocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Mature",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0,0.364261389962811,0.317933940168794,0,0,0.511677573460734,0,0,0.377723341238586,0.368789041197448,0,0,0,1.01132563096386,0.556699395869946,0,0,0.480223388202453,0,0.158813986334124,0.328139246069984,0,0,0.77733886327332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goblet",0,0.154984250298149,0.276739697259319,0,0,0.331366174679461,0,0,0.296998060654106,0.0715179751013586,0,0,0,0.118601617329765,0.126785726475623,0,0,0.104292783044007,0,0.300807301477424,0.0778885345919723,0.154428997038425,0.050517374379948,0.122605857883854,0,0.0990294561918407,0,0,0,0,0,0,0,0,0,0,0,0
"ILC_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ILC_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ionocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0,0,0,0,0,0.328402062620187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10284683302915,0.0957332129501877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage_Alveolar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mast",0,0,0,0,0,0.482151040578227,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25659581098719,0.249482190908228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesothelial",0,0.985799766601266,0.442066161021427,0,0,1.28297708289695,0,0,0.852604203274432,0.478391233184751,0,0,0,0.592737221453737,0.612612915093679,0,0,0.557987195331183,0,1.37506775065355,0.663767953771659,0.427484764422501,0.427389774289897,0.772035834259433,0,0.360213893394505,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblast",0,0.310513812404672,0.331080898375511,0,0.0723697281136787,0.428020118347842,0,0,0.301970012559703,0.182424387829369,0,0,0,0.384409692662919,0.274093657897605,0,0,0.263750177658966,0,0.230335323118997,0.206425438185518,0.0969572911399302,0.130318786334341,0.371631081684032,0,0.0430578036004493,0,0,0,0,0,0,0,0,0,0,0,0
