"","Monocyte_Non-Classical","Macrophage_Alveolar","NK","Monocyte","Lymphatic-Endothelial","Macrophage","Fibroblast","Basal","Myofibroblast","Dendritic_A","B","Vascular-Endothelial_A","T","ATII","ATI","Vascular-Endothelial_D","Vascular-Endothelial_C","Ciliated","Club","Vascular-Endothelial_B","B_Plasma","Innate_lymphoid_A","T_Cytotoxic","Goblet","T_Regulatory","Mesothelial","Innate_lymphoid_B","Smooth-Muscle","Dendritic_B","Dendritic_Langerhans","Mast","Dendritic_Plasmacytoid","Dendritic_C","Vascular-Endothelial_E","Pericytes","Mystery_Disease_Epithelial","Ionocyte","Neuroendocrine"
"Monocyte_Non-Classical",0.044745944706211,0.0722589459083998,0,0.0759145471772477,0,0.0669861083090473,0,0.0523720254440655,0,0.0730340088938797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage_Alveolar",0.0700936795308977,0.0863093907450025,0,0.10454054388428,0,0.0717493027358396,0,0.074411989760283,0,0.146508627152342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte",0.00351749597748759,0.025052147410781,0,0.0396113488866918,0,0.022592945392676,0,0.00831477307529594,0,0.0647921988475284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic-Endothelial",0.0860235271852233,0.101140750745365,0,0.120710381703432,0,0.108210567287952,0,0.0626791794835553,0,0.121576026386891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797823393173705,0,0,0,0,0,0,0,0,0,0.389284786002138,0,0
"Macrophage",0.0490554068937742,0.104218158952956,0,0.135772543189297,0,0.0895911489862249,0,0.0800605756847392,0,0.170335429792619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0.423531325228565,0.613107634119934,0.186010762671446,0.663830750296827,0.705888049731911,0.686483721207372,0.868536067298891,0.710517461737814,0.853070774713136,0.532437779674601,0,0.185975175881206,0,0.488368007231097,0.473426376373654,0,0.0835915662710991,0.78249251643231,0.693925967920316,0,0.0826119530616861,0,0,0.425843878509422,0.272865963147544,0.715227879041101,0.183003397891829,0,0.210523936556343,0.408116998613214,0.378444960072746,0.273304195113214,0.0798162247149438,0.115017170173967,0,0.892068812694554,0,0
"Basal",0.529790909323857,0.664228078902897,0.270390439846142,0.856519784593323,0.781428916320566,0.963231648623588,0.704027790759835,0.694352512377922,0.576431411842347,0.687268588257218,0,0.141940877179839,0,0.405435182113408,0.46615972519093,0,0.063277870975354,0.881270285741397,0.625548511321061,0,0.0664975226229872,0,0,0.382041873352657,0.287398338994177,0.617000771291843,0.193442528574741,0,0.18900749616572,0.442149667645653,0.307925386489827,0.286569587526042,0.0735543461747078,0.104950150631549,0,0.823154243922562,0,0
"Myofibroblast",0.407708331263073,0.527957872499172,0.343854836950087,0.562254091043246,0.800173394920834,0.620142565848591,0.973873428258801,0.619319456024634,0.612901433045172,0.464119116001932,0,0.182113577443479,0,0.395282790163674,0.43345938640644,0,0.0689390521356758,0.81736030006285,0.601704944478473,0,0.0808676816652149,0,0,0.327269385716023,0.237525802258234,0.692741096773481,0.206547969862167,0,0.201732314223151,0.353036065524954,0.373992725833281,0.248853313384357,0.0690548853672537,0.0929205892134975,0,0.755400529941842,0,0
"Dendritic_A",0.00695498144998898,0.0132538246000482,0,0.0233540045446285,0,0.0121496861195944,0,0.0057560248661649,0,0.0255198866530065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",0.0157054908279399,0.0211491841891009,0,0.0254222446823419,0,0.0206146237533109,0,0.011046101915878,0,0.0351071869749714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vascular-Endothelial_A",0.027263730930608,0.0344922631340484,0,0.0359354445601603,0,0.0328104909562902,0,0.0191003875541701,0,0.0351922142086412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859050488436221,0,0,0,0,0,0,0,0,0,0.0694198249079232,0,0
"T",0.0432849495216527,0.0838239537326568,0,0.0866287939441924,0,0.0741289795287119,0,0.0894487725295623,0,0.0931747032541909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATII",0.315678625531207,0.417814893023155,0.232118619161021,0.738041977685106,0.597058023554518,0.661410854945759,0.737503449221897,0.543772785967407,0.471319809075813,0.571022288006467,0,0.107316272270281,0,0.300412126892853,0.386227099676646,0,0.0436183828059889,0.624591877334795,0.529697222607557,0,0.0482837679702533,0,0,0.325909379119398,0.180207902005957,0.536129714270163,0.171690450239658,0,0.153378926602196,0.431695931946739,0.302513154476539,0.244403111676769,0.0679993047519044,0.0714133766955728,0,0.731773713243932,0,0
"ATI",0.399703381116788,0.477368490152872,0.260805463711918,0.748431397399937,0.708294884268877,0.625052090236016,0.788150514695169,0.621833037901429,0.523842691788836,0.62071481119107,0,0.125733386987835,0,0.346858882572434,0.423818969792584,0,0.0564431293564142,0.71700776307512,0.56629078773992,0,0.0850874183236982,0,0,0.36800281266403,0.205531434742593,0.694008967045832,0.182691409193194,0,0.207566878690588,0.424161115668382,0.296692498763136,0.292830058935861,0.0725882737110179,0.0787008703176571,0,0.857536897070104,0,0
"Vascular-Endothelial_D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vascular-Endothelial_C",0.33756642306939,0.502478193405948,0.26038374260313,0.639543293218515,0.705019548062385,0.673622650823168,0.772196548749377,0.605936175146856,0.654277634440339,0.462691216514605,0,0.156444882441761,0,0.41631550209119,0.46564158033844,0,0.0614136398719594,0.722104035676115,0.58031365675658,0,0.0745315983291673,0,0,0.408610817231631,0.221685593918115,0.68892688980071,0.197694686296045,0,0.212037621679462,0.366842849690388,0.347015697315359,0.236932080942703,0.0566415237156486,0.103056595941467,0,0.852170452242193,0,0
"Ciliated",0.155636779189268,0.202143362576817,0.133945113726189,0.511996326252327,0.343260117177273,0.343327897359415,0.583242248358168,0.30552261255476,0.263773117365562,0.350675311277598,0,0.0379657844935121,0,0.168768701753256,0.257648856894454,0,0.0179313477081864,0.439992842357907,0.247790342407687,0,0.0146650024348749,0,0,0.210678675526048,0.0969725500718853,0.275579186511392,0.100920571018746,0,0.0711075114504315,0.252012597425536,0.130544951631943,0.136573254412189,0.0343604332226292,0.0281982523925175,0,0.448111039590087,0,0
"Club",0.287306920260474,0.313369726681447,0.195936610084853,0.622035115256359,0.508474184511634,0.489201438089622,0.555324192912192,0.427433801406776,0.329939667019583,0.47759907160179,0,0.0607853388491974,0,0.223196657309442,0.313270247230012,0,0.0301436360218873,0.489627941745333,0.330222507439952,0,0.0283102201001344,0,0,0.265090217460146,0.141515469609276,0.352624167675697,0.132544913649421,0,0.111619740149713,0.316648831135212,0.186770127913556,0.195223165138062,0.0552291839014922,0.047685779690126,0,0.57903869574927,0,0
"Vascular-Endothelial_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0.00088412574616022,0.00718296889621946,0,0.0122695854363312,0,0.00810298063117105,0,0.00174964812842666,0,0.0206632020899434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Innate_lymphoid_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T_Cytotoxic",0.0469443662613655,0.0620615898215077,0,0.102039025974468,0,0.0691314063640942,0,0.0811194839218661,0,0.0890100589503428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goblet",0.263976380000634,0.290100510317353,0.373796338815859,0.588522503053686,0.523878941380493,0.458275955824259,0.589476981079257,0.38497068437554,0.343235749482121,0.446109303312027,0,0.0519152755061056,0,0.19133999247196,0.282056723738788,0,0.0249195269927081,0.59109985166554,0.335452963766378,0,0.0202394485255543,0,0,0.23433946110672,0.121365334782442,0.313093170724919,0.123303719874942,0,0.106042283636402,0.277681100777626,0.169017256290886,0.181361374476344,0.0520391460155191,0.0345511961807876,0,0.495486060513324,0,0
"T_Regulatory",0.0346575065081642,0.0771816323624833,0,0.0823482629694462,0,0.0593097732889738,0,0.0470272570701456,0,0.0910594603363936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesothelial",0.482122593962108,0.807685162288214,0.463356071158795,0.761059589446319,1.08251821978772,0.896111248413722,1.2586431632523,0.743777661421377,0.841229304324193,0.55618914358284,0,0.194167227855718,0,0.464785693838208,0.479698844062891,0,0.0804172613170386,1.30394170914279,0.806315327401447,0,0.10445926969239,0,0,0.586440432784679,0.323939844130997,0.776001774489002,0.237219367738449,0,0.192701447616479,0.419465418203544,0.290761649236807,0.283885595580292,0.0693352273870074,0.11999665274671,0,0.893505042719688,0,0
"Innate_lymphoid_B",0.0428703978451053,0.0554680841452238,0,0.0538320824577097,0,0.0460196984480343,0,0.0332323759411753,0,0.0618401010517623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smooth-Muscle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_B",0.00796402892477415,0.0162538793060269,0,0.0570009918372242,0.0805434936812918,0.0285895373164219,0,0.0539071041519598,0,0.0544412196538315,0,0,0,0,0.0671396331046692,0,0,0.0262014669343573,0.0989847975025197,0,0,0,0,0.0950181973213224,0,0.0962317375873059,0,0,0,0.142003667577406,0,0,0,0,0,0.172885875513477,0,0
"Dendritic_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mast",0.111680893737492,0.133276927394838,0,0.16123354304922,0,0.143376665312819,0,0.0998799371349985,0,0.153382588994767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_Plasmacytoid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vascular-Endothelial_E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108601470942901,0,0,0,0,0,0,0,0,0,0.0894125979054243,0,0
"Pericytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mystery_Disease_Epithelial",0.295846913479341,0.369501443947463,0.290697106187383,0.615564792540212,0.510163713819211,0.57868361739859,0.88867143160332,0.4575872245174,0.340091234266583,0.461867632181485,0,0.0722476751779963,0,0.212769981137276,0.303677605092063,0,0.0316152392248008,0.969886114118586,0.349512832310439,0,0.028375785709027,0,0,0.287993165128851,0.133642265152742,0.331747990821364,0.152084250687802,0,0.107373260965005,0.269133142242896,0.180593430917618,0.214577629360638,0.0685973993011689,0.0442412527403924,0,0.523994797736905,0,0
"Ionocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neuroendocrine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
