"","Monocyte_Non-Classical","Macrophage_Alveolar","NK","Monocyte","Lymphatic-Endothelial","Macrophage","Fibroblast","Basal","Myofibroblast","Dendritic_A","B","Vascular-Endothelial_A","T","ATII","ATI","Vascular-Endothelial_D","Vascular-Endothelial_C","Ciliated","Club","Vascular-Endothelial_B","B_Plasma","Innate_lymphoid_A","T_Cytotoxic","Goblet","T_Regulatory","Mesothelial","Innate_lymphoid_B","Smooth-Muscle","Dendritic_B","Dendritic_Langerhans","Mast","Dendritic_Plasmacytoid","Dendritic_C","Vascular-Endothelial_E","Pericytes","Mystery_Disease_Epithelial","Ionocyte","Neuroendocrine"
"Monocyte_Non-Classical",0.0660081052957538,0.0740735924254425,0,0.115094997409592,0,0.0657886360562395,0,0,0,0.0598960784761125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317192557926265,0,0,0,0,0,0
"Macrophage_Alveolar",0.193418178787085,0.121285227904318,0,0.221478832358429,0,0.0912262764576621,0,0,0,0.132612073831051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117309382089604,0,0,0,0,0,0
"NK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte",0.116256596246668,0.161637399524981,0,0.273799290545781,0,0.113117898963662,0,0,0,0.167159180312928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196025802423573,0,0,0,0,0,0
"Lymphatic-Endothelial",0.155668513776659,0.138943856213984,0,0.211188541676882,0,0.142159635782188,0,0,0,0.131557072133713,0,0,0,0,0.699067985391356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56747028444353,0,0,0,0,0,0
"Macrophage",0.140408173036843,0.135040492518862,0,0.232941552870548,0,0.10105146546805,0,0,0,0.123492680865575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140234823113843,0,0,0,0,0,0
"Fibroblast",0.508543285605768,0.575341593640775,0.312061469643745,0.828615439633826,0.224324850243221,0.512096654572139,0.733016984815721,0.334578109232777,0.526998794042754,0.583333258785983,0.166406138074999,0.123849373684619,0.222895159853864,0.501693145345522,0.739351359574597,0.166905804574786,0.33188933826628,0.634287970146159,0.659012852292313,0.127925098131581,0.0841909704940758,0.158476572066754,0.179661289745529,0.538075881457645,0.227967436415146,0.654111732345075,0.28772101708673,0.458782789300878,0.137561255116345,0.436689538655151,0.566926227541921,0.735990599045658,0.317676187191706,0.341684020404364,0.414188446083268,0.539678089130005,0,0
"Basal",0.879564544540946,0.827781312092267,0.487412283061955,1.29602276122817,0.279545785792735,0.980179258461672,0.722118010277972,0.365335592818834,0.449932625468621,0.964626835278945,0.166102249744079,0.130536927461332,0.284803643094244,0.578722554855846,0.943546844333965,0.177322337269849,0.342979847658031,0.939061360769688,0.774952669361212,0.175863018443475,0.0935253918187226,0.200887707892736,0.229188076337833,0.583761539818742,0.331286765320601,0.6919197643492,0.360813425444685,0.465416439595817,0.177244877123041,0.521611678977234,0.585772435681258,0.967419679131091,0.358408938802521,0.429084232037843,0.609071941513192,0.532845747098165,0,0
"Myofibroblast",0.363085665445655,0.347582495401858,0.297210075394706,0.565519455342479,0.19417802486845,0.339331194791541,0.652339608995947,0.208497267720505,0.297632325345148,0.375967314658788,0.0924364251965544,0.0805579065281922,0.135861103549988,0.385728574527086,0.696416729771964,0.101506771984187,0.185472396098669,0.487426098058003,0.408455092954438,0.0737552169123947,0.0552129383691373,0.0861171325901455,0.107164371497144,0.297513660042814,0.123950742167521,0.448386925915928,0.213482943873876,0.28997388185246,0.0861114552004444,0.25579093996363,0.342317381144229,0.39527921588687,0.171833912282372,0.184012649162844,0.302986861431504,0.366187874782976,0,0
"Dendritic_A",0.0424442896842379,0.0285070750486754,0,0.0967756141102805,0,0.0233901685166343,0,0,0,0.0354220802699213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218967268328311,0,0,0,0,0,0
"B",0.043578617268972,0.0320148077160313,0,0.0548758701685258,0,0.028326290978259,0,0,0,0.0343681566622078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749712960833182,0,0,0,0,0,0
"Vascular-Endothelial_A",0.310890811385611,0.366699371516161,0.22980049190807,0.530679174207936,0.216875857008914,0.340933790320951,0.617758667210464,0.216387701845886,0.362715363698854,0.326897096536472,0.0789882811688664,0.0715924771764002,0.10374930357509,0.389489537648611,0.684362245360545,0.130006151152942,0.180551161629129,0.439664325180991,0.35066363689753,0.0837784523611939,0.0578367924196208,0.075592498133694,0.105430755903137,0.355845325509898,0.124367520155854,0.485899713810026,0.240751382026538,0.27783892540594,0.0867892790797339,0.251334530377025,0.304494476066357,0.373093716992963,0.124583082681635,0.196608519745575,0.29869307376607,0.377824244997157,0,0
"T",0.0450319728711539,0.046642137353387,0,0.109558395345608,0,0.040529489450914,0,0,0,0.0468652835243175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059319552787158,0,0,0,0,0,0
