"","Monocyte_Non-Classical","Macrophage_Alveolar","NK","Monocyte","Lymphatic-Endothelial","Macrophage","Fibroblast","Basal","Myofibroblast","Dendritic_A","B","Vascular-Endothelial_A","T","ATII","ATI","Vascular-Endothelial_D","Vascular-Endothelial_C","Ciliated","Club","Vascular-Endothelial_B","B_Plasma","Innate_lymphoid_A","T_Cytotoxic","Goblet","T_Regulatory","Mesothelial","Innate_lymphoid_B","Smooth-Muscle","Dendritic_B","Dendritic_Langerhans","Mast","Dendritic_Plasmacytoid","Dendritic_C","Vascular-Endothelial_E","Pericytes","Mystery_Disease_Epithelial","Ionocyte","Neuroendocrine"
"Monocyte_Non-Classical",0.0621415476513084,0.0949908868611235,0,0.10144261762108,0,0.0890701586751842,0,0.0696542154404271,0,0.0746669221992953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage_Alveolar",0.0722252964520725,0.0869054131441676,0,0.119138845013745,0,0.0773740921199907,0,0.0674488598883339,0,0.106440170495779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte",0.0270559889432811,0.0655512156398105,0,0.0804715729480118,0,0.052625108686465,0,0.0449597623688727,0,0.0728523682372318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic-Endothelial",0.197869724226268,0.196021516566072,0,0.361723296693663,0,0.273020553626342,0,0.116482279523266,0,0.232222344461333,0,0,0,0,0.343737634771362,0,0,0.149032418780513,0.0644300138133023,0,0,0.00408499746559929,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850128799920135,0,0
"Macrophage",0.092384818277429,0.154549545906679,0,0.198867789345975,0,0.133340728316006,0,0.131412572570536,0,0.154131237916307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0.51317757762826,0.512544497127592,0.159394595134024,0.868853353883204,0.319981095925809,0.613387608757309,1.11538817396802,0.459608000109348,0.895588709386703,0.528440777380561,0,0.326498332418222,0.218075209530212,0.30356220057376,0.465021360518858,0.261299523536382,0.43065079495115,0.711585552956563,0.787001070357473,0.166898017961197,0.323745122404196,0.205536307141938,0,0.391396075957022,0.448680111808675,0.811718799030012,0.093433927853031,0.269890057104597,0.204457082060902,0.251269509889168,0.356731086146038,0.390528193491945,0.208911024364177,0.390376949150423,0.750961678814804,0.970641000380587,0,0
"Basal",0.850659455701749,0.751714084682607,0.271547427671135,1.28872937427392,0.414169901249354,1.11477561171418,1.15250008701191,0.567700665365405,0.789509161375949,0.796713195975043,0,0.33669401260958,0.291082402079887,0.333088025818353,0.643369293378808,0.284105153441113,0.457100233821192,1.03361505905882,0.926356031172185,0.224663830142627,0.376244922187926,0.302764058839589,0,0.396410386242795,0.679650853609169,0.848019522315663,0.141972141252498,0.27391527766716,0.253877151514862,0.318939796110202,0.38329355234088,0.504692800580194,0.214972176750103,0.493445926867611,1.12047401727419,1.08881186364945,0,0
"Myofibroblast",0.381765718234719,0.366033048771178,0.193108998570677,0.595349140101085,0.315369375080719,0.448017838493139,1.07391384972582,0.337998870506474,0.572329147531765,0.357032645305833,0,0.29176147031521,0.169089932089735,0.218303411163612,0.38223667795093,0.191863238594344,0.301230332830393,0.637523521564693,0.574555332885065,0.136584623064861,0.260112460442114,0.13611091092508,0,0.258958346808663,0.308437073905286,0.679976038781475,0.0806761838505555,0.21976921909739,0.157271812034278,0.178099229243922,0.273844500602624,0.253640813390581,0.126423541223706,0.27519398226203,0.66409918545226,0.693247863766358,0,0
"Dendritic_A",0.00877298007201122,0.0148407250683674,0,0.0289310639092023,0,0.0144771556487473,0,0.00598268048354109,0,0.0186763786298217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
