"","Aberrant_Basaloid","ATI","ATII","B","B_Plasma","Basal","cDC1","cDC2","Ciliated","Club","cMonocyte","DC_Langerhans","DC_Mature","Fibroblast","Goblet","ILC_A","ILC_B","Ionocyte","Lymphatic","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Myofibroblast","ncMonocyte","NK","pDC","Pericyte","PNEC","SMC","T","T_Cytotoxic","T_Regulatory","VE_Arterial","VE_Capillary_A","VE_Capillary_B","VE_Peribronchial","VE_Venous"
"Aberrant_Basaloid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATI",0,0.535069021926849,0.0842066777039684,0.0859613934396439,0.0838675115416083,0.940122976326652,0,0,0.905535750171258,0.674935516864481,0,0,0,0,0.554782922687296,0,0,0.563155564165094,0,1.00937911471177,0.922997656880093,0.288720060635464,0.486734335394829,0.728177818613622,0,0.0984132250517538,0,0,0,0,0.174796637628965,0.0871585567495871,0,0,0,0,0,0
"ATII",0,0,0,0,0,0.0435107379610602,0,0,0.043080658123343,0.0345374401851882,0,0,0,0,0,0,0,0,0,0.00980537295268212,0.0105043289960432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,0.354177732876055,0,0,0.0404987344199179,0.98431985870132,0,0,0.6753397269736,0.863968994538517,0,0,0,0,0.673076675092414,0,0,0.54182204439305,0,0.265683327499256,0.151561203700958,0.1153086803229,0.353371050631744,0.660633550531209,0,0.0877723033278907,0,0,0,0,0.0486553755547332,0.051194631345849,0,0,0,0,0,0
"cDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0,0.279370680212846,0.0114193112539779,0.0132442156190805,0.0233838893515851,0.227784666138546,0,0,0.221769528966579,0.1575372037355,0,0,0,0,0.120040438245893,0,0,0.194151671411097,0,0.258263076173391,0.196194297538305,0.108058455981851,0.201581174578025,0.376526763567421,0,0.0536389734526877,0,0,0,0,0.0444046720874275,0.030229263384181,0,0,0,0,0,0
"Club",0,0.33501384845769,0.0277284611482772,0.0297120528494757,0.0273450559212615,0.399169964295812,0,0,0.41427085562206,0.288515723526816,0,0,0,0,0.222375735065778,0,0,0.299302156470801,0,0.358227347773623,0.320929170197559,0.0905738679810564,0.280374637595406,0.48584905280392,0,0.0437880364109912,0,0,0,0,0.0626728065464122,0.0310653678954984,0,0,0,0,0,0
"cMonocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Mature",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
