"","ATI","ATII","B","B_Plasma","Basal","Ciliated","Club","Dendritic_A","Dendritic_B","Dendritic_C","Dendritic_Langerhans","Dendritic_Plasmacytoid","Fibroblast","Goblet","Innate_lymphoid_A","Innate_lymphoid_B","Lymphatic-Endothelial","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Monocyte","Monocyte_Non-Classical","Myofibroblast","Mystery_Disease_Epithelial","NK","Pericytes","Smooth-Muscle","T","T_Cytotoxic","T_Regulatory","Vascular-Endothelial_A","Vascular-Endothelial_B","Vascular-Endothelial_C","Vascular-Endothelial_D","Vascular-Endothelial_E"
"ATI",0.296903945890756,0.256784121699217,0,0.0334417516042154,0.392086099239876,0.283550768258825,0.149386370119724,0.45055894709652,0.112954364738518,0.14284571883879,0.157999085593045,0.12285423804433,0.255625449020669,0.205038355587476,0.119630809548189,0.0643329225798838,0.113075824785364,0.274470680876657,0.199937669387658,0.128604733197577,0,0.320732023465888,0.0797363405695667,0.395987957075781,0,0.03775712023369,0,0,0.0310735626206862,0.0306290595458977,0.0677575668553818,0.174360025935646,0.111271480506214,0.213235822850397,0,0
"ATII",0.29996567768198,0.289643265658598,0,0.0331964840964288,0.447423119304097,0.210356393063788,0.155049843505983,0.494223200458326,0.153290581007172,0.105435468969996,0.14175398188281,0.16402582053617,0.279753428676257,0.208746313383291,0.162324198769891,0.126365729372994,0.0867992591158646,0.274296394452204,0.161836466000056,0.180274777832464,0,0.341550273792343,0.039860504000689,0.438424089955949,0,0.0662813066772521,0,0,0.0305194008976567,0.0300169191609393,0.0673810401415848,0.142689730090211,0.0710030483117439,0.171457519260859,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0.732062735886071,1.09649259543574,0,0,0.897949173878173,0.570514642709197,0.594331048720396,0.848319487510829,0.263876291591157,0.202331036051332,0.305338214833289,0.521494817309712,0,0.519468363119741,0.268149497027543,0.317995428285522,0.308247045146617,0.51739172237276,0.109343829204361,0.290592159971929,0,0.568454632008985,0,0.695532407594339,0,0.231624070660392,0,0,0,0,0,0.284868311412423,0,0.117294072601778,0,0
"Ciliated",0.173959058612966,0.168029273487081,0,0.0127653268305268,0.289254647411312,0.184822324799892,0.0893195404109416,0.327398107483252,0.0959111192223318,0.0852895508760136,0.09913834610428,0.10578753958901,0.221822277305781,0.103169415621689,0.104222047564033,0.106691132795264,0.0515565732632074,0.171790950986945,0.0979817239128887,0.120736580301601,0,0.25001192848281,0.038897604516635,0.367799285683098,0,0.0514134639151807,0,0,0.0103024102876564,0.00984012708987644,0.0264396798538826,0.0932780476216432,0.0716941500507479,0.0993394067391992,0,0
"Club",0.170058452095182,0.112693389399543,0,0.0110041834930477,0.285896090018477,0.186537972516606,0.0669254226202909,0.244129212411214,0.0472889356127369,0.0479090108640262,0.0781451794924074,0.0584800967410465,0.235368827469495,0.0819257935718328,0.0548362210497569,0.0459246376394554,0.0474262382743898,0.120844548458319,0.103178141626291,0.0649806564794999,0,0.183795301565685,0.0188694579970281,0.394039488749187,0,0.0158824262915843,0,0,0.00832710029427557,0.00782461855755819,0.0229964389348226,0.0638310539111153,0.0233753327447917,0.101929158611639,0,0
"Dendritic_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_Plasmacytoid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
